action_id,player_name_ko,type_name,start_x,start_y,end_x,end_y,sequence_id,seq_position
2294,한교원,Pass Received,0.425012,0.1126979999999999,0.4080039999999999,0.019591,8828,9
2295,한교원,Pass,0.425012,0.1126979999999999,0.4080039999999999,0.019591,8828,8
2295,한교원,Pass,0.425012,0.1126979999999999,0.4080039999999999,0.019591,8829,9
2296,정우재,Pass Received,0.4080039999999999,0.019591,0.4080039999999999,0.019591,8828,7
2296,정우재,Pass Received,0.4080039999999999,0.019591,0.4080039999999999,0.019591,8829,8
2297,정우재,Carry,0.4080039999999999,0.019591,0.5166799999999999,0.0533849999999999,8828,6
2297,정우재,Carry,0.4080039999999999,0.019591,0.5166799999999999,0.0533849999999999,8829,7
2298,정우재,Pass,0.5166799999999999,0.0533849999999999,0.553883,0.1528449999999999,8828,5
2298,정우재,Pass,0.5166799999999999,0.0533849999999999,0.553883,0.1528449999999999,8829,6
2299,한교원,Pass Received,0.553883,0.1528449999999999,0.553883,0.1528449999999999,8828,4
2299,한교원,Pass Received,0.553883,0.1528449999999999,0.553883,0.1528449999999999,8829,5
2300,한교원,Carry,0.553883,0.1528449999999999,0.622854,0.1730129999999999,8828,3
2300,한교원,Carry,0.553883,0.1528449999999999,0.622854,0.1730129999999999,8829,4
2301,한교원,Pass,0.622854,0.1730129999999999,0.829771,0.105136,8828,2
2301,한교원,Pass,0.622854,0.1730129999999999,0.829771,0.105136,8829,3
2302,정우재,Pass Received,0.829771,0.105136,0.907496,0.414486,8828,1
2302,정우재,Pass Received,0.829771,0.105136,0.907496,0.414486,8829,2
2303,정우재,Cross,0.829771,0.105136,0.907496,0.414486,8829,1
